Sentence,Sentiment
"Москва вошла в пятёрку самых худших городов, заняв четвёртое место после Пекина (Китай), Мехико (Мексика) и Йоханнесбурга (ЮАР).",negative
"Пользователи Tumblr угрожали перестать пользоваться сервисом, если произойдёт его продажа, указывая на такие достоинства сайта, как отсутствие таргетинга и контекстной рекламы.",negative
Простые советские люди видели такие в кино.,neutral
"Обратно, если мы забиваем на метафоры... то это свобода художника придумать мир со своими правилами.",neutral
"Моя система защиты ничего не стоила, потому что средства были слишком не в уровень с опасностью.",neutral
Более 40000 человек уже оставили соболезнования на форуме «Утреннего шоу».,neutral
"По итогам того, что мы видели и делали могу с уверенностью сказать - пожарная служба в этой части Геленджика в этот период времени просто не существует.",negative
цитирует NEWSru.com записи в Тwitter нардепа Александра Бригинца.,neutral
"Заявки на участие в премии могут присылать те азиатские авторы, творчество которых уже переведено на английский язык, но перевод ещё не опубликован.",neutral
С апреля для поездки туда россиянам нужна национальная или шенгенская виза.,neutral
"Был «Тайный дневник Лоры Палмер» (который написала дочь Дэвида Линча), был роман пассажира 815-го рейса «Зловещий близнец», в котором поклонники сериала Lost тщетно надеялись найти хоть какие-то ключи к хитросплетению сценария, и было множество романов Джессики Флетчер (неутомимая героиня сериала «Она написала убийство»).",neutral
"Tumblr позволяет размещать текстовые сообщения, изображения, видеоролики, ссылки и аудио в общем потоке-микроблоге, получившем название «тамблелог».",neutral
"Пользователи могут читать ограниченное число страниц, которые содержат ключевые слова поиска.",neutral
"Магам следует подражать, однако подражать можно только внешне, поскольку см. выше — палочки раздают по рождению.",neutral
"И снова бесконечные операции, реабилитационные процедуры, адаптация к новой жизни – без рук и ног.",negative
"Маме 31 год, братьев и сестёр — восемь человек.",neutral
"Их мощную, давно устоявшуюся общественную систему вряд ли что сокрушит.",positive
"Бывает, что какие-то сцены могут быть неприятными, но, знаете, мне намного страшнее переводить фильмы, где неестественный английский диалог.",negative
"Четверть детей полагает, что обмен SMS — это тоже чтение (родители более консервативны: таких продвинутых среди них только 8%).",neutral
Сегодня даже численность населения этого государства является относительной величиной.,neutral
"Поэтому сливки снимают в конечном итоге с государства в виде госпомощи, благо есть отличный социальный повод — 100 тыс. работников и их семьи.",neutral
А на странице с самим роликом задача рекламы — вовлекать пользователя в дальнейшую коммуникацию.,neutral
"Самая сильная за последние пять лет магнитная буря, начавшаяся на Земле в ночь на минувшую субботу, негативно сказалась на здоровье россиян.",negative
В приключениях в Геленджике были и неприятные моменты.,negative
"Пономарев и его менеджер Данаилов никогда не отрицали, что они получили деньги для Ялтинского матча.",neutral
"«Тяжело в учении, легко в бою» (в оригинале If You Liked School You'll Love Work) заявлен как сборник рассказов, хотя первые четыре вошедших в книгу текста вполне могут считаться короткими повестями, а последний — небольшим романом.",neutral
Задача религиозного лидера майя состояла при этом в интерпретации этих циклов.,neutral
"Где-то на середине процесса заливания водой второго очага присоединилась Катаринка, и мы вдвоём, применяя также канистры и бутылки, уже стали теснить огонь к краю второго очага, проливая его последовательно с наветренной стороны.",neutral
"Все наши многочасовые труды рассыпались в кучку досок, и шурупы на изначально предназначенные места уже было не вкрутить.",negative
"Получается, что президент тоже оставил страну где-то позади, тоже оказался в отрыве от неё, тяжеловесной, медлительной, погрязшей в национальных традициях коррупции и произвола, а главное, презрения к мысли как таковой.",negative
"«De Ornatu mulierum», также называемый «Trotula Minor» или «Женская косметика», представляет собой трактат, который учит женщин с целью сохранения и улучшения их красоты и лечения кожных заболеваний соблюдать ряд предписаний, советов и использовать природные средства.",neutral
"В прокуратуре также добавили, что ранее ими уже «вносилось предостережение бывшему руководителю указанной организации, однако нарушения административного законодательства вновь стали иметь место».",negative
особенно пострадала девочка 14-летнего возраста и взрослый мужчина.,negative
"«Заодно» ЕС наткнулся на те же проблемы у Португалии, Испании и Италии — совокупные долги этих стран перед банками превышают 1,3 трлн евро.",negative
"А сколько было в стране селекторов, стадионов, заводов, фабрик, улиц, площадей?",neutral
"Это показушность наших чиновников, ну смешно.",negative
Дальше: разбор апелляции по вопросу о вампире.,neutral
"Право на жизни находится под угрозой во всем мире, говорит Папа.",negative
Научная американская мысль искала более правдоподобную аргументацию.,neutral
"Вообщем, несправедливость и пиздец во всей красе.",negative
"В самом крайнем своем выражении, при самом ужасном стечении событий, такая женщина превращалась в монстра, способного убить своей заботой.",negative
"Помимо любовных неурядиц, среди возможных причин самоубийства называют и недовольство, которое испытывала Виктория Бенедиктсон из-за малоинтеллектуальной жизни, которую она была вынуждена вести.",negative
Именно на это и делается основной акцент: приложения для новой системы будут веб-приложениями.,neutral
Организация eBaum's World выразила таким образом желание сделать «любовь напоказ» общедоступной.,neutral
"Мартину Шкрели 32 года и он основатель биофармацевтической компании Turing Pharmaceuticals, расположенной в Бруклине, под Нью-Йорком.",neutral
В Южском районе Ивановской области разгорелся огромный лесной пожар.,negative
И если бы вся проблема Лужкова заключалась исключительно в Елене Батуриной и её бизнесе!,negative
"Бюро принадлежит депутату от Левой партии, который также является членом комиссии по расследованию деятельности секретных служб.",neutral
"Половина моих знакомых сидела/сидит на суровых диетах, прописанных этим доктором.",neutral
"Но главное, конечно, — это не столько железо планшетника, сколько его программное обеспечение.",neutral
"Чиновница предлагает сделать платным лечение для людей, которые необоснованно отказались делать профилактическую прививку, а затем заболели болезнью, от которой вакцинация должна была их защитить.",neutral
"Примечательно, что в сложившейся ситуации стороны винят друг друга: Роскомнадзор уверяет, что предупреждал о необходимости оформить документы в течение 10 лет, а руководство каналов пеняет на российскую бюрократию и волокиту.",negative
"""Вступление в ЕС - экономический геноцид в отношении граждан страны"",",negative
"Ну, и обычно народ крутился еще потом, то мама отпуск возьмет, то бабушки по очереди, еще выигрывали чуток.",neutral
"Сотрудник Программы Питер Шмердон указывает, что рост цен на продовольствие обрекает сотни миллионов людей на крайнюю нищету и голодную смерть:",negative
Поначалу попытались было — в электронной версии — наладить обратную связь с читателем.,neutral
"Андрей Макаревич, отметившийся критическими заявлениями в отношении власти, записал сатирическую песню.",neutral
"Согласно замыслу оппозиционеров на избирательные участки электорат должен будет прийти не в январе 2010 года, а 25 октября года нынешнего.",neutral
Все мои идеи приходят откуда-то извне.,neutral
"Потом обычно мне достаются какие-то давно запланированные работы, до которых просто не доходили руки, а потом оказывается, что я уже просто не нужен.",negative
"Обычных дождевых червей, которыми кормят потомство в первые дни.",neutral
Всего 363 студента разных курсов и 18 преподавателей.,neutral
"В частности, по астрологии и календарю майя, «время пятого Солнца» — последнего цикла — закончится 21—25 декабря 2012 года (зимнее солнцестояние).",neutral
И только одно плохо – он растет.,negative
"Не люблю за то, что уставшие от домашних хлопот мужчины будут с тоской и нетерпением ждать наступающего 9 марта, когда всё вернётся на круги своя, ты займёшь полагающееся тебе место и вымоешь оставшуюся с предыдущего праздничного вечера посуду.",negative
"Джон Бенер заявил, что страна находится в сложной ситуации, когда на каждые 10 трудоустроенных граждан приходится один безработный, а цены на медицинские услуги для семей и малого бизнеса постоянно растут.",negative
"Прибыл он на знаменитом «Первом флоте», состоящем из 11 парусных кораблей с 1487-ю людьми на борту.",neutral
"Тем временем американские страховые компании, сделавшие ставку на голливудский блокбастер, активно разрабатывают планы защиты вложенных средств.",neutral
"Такое же огромное влияние оказывали Фонвизины на тех, кто был рядом с ними в Сибири.",neutral
"Небольшая проблема в том, что так считают не все, некоторые наивные люди кину верят...",negative
"Похоже, сейчас проникновение Интернета достигло таких масштабов, что многие виды бизнеса уже никак не могут существовать в полном оффлайне, но эффективность корпоративных сайтов находятся на чудовищно низком уровне.",negative
"Это спокойное течение партии нарушилось после того, как в игровой зал вошёл Данаилов.",neutral
"Восстание продолжалось до ноября, погибло более 2000 венгров.",negative
О творчестве Никиты Михалкова читайте в статье Частного корреспондента «Нам всё нравится»,neutral
И право зарабатывать полностью перешло к зрителям.,neutral
"Однако власти предупреждают, что число жертв может многократно возрасти.",negative
"За пределами США и Канады от продажи билетов получено $907,7 млн.",neutral
"Там есть здоровая соревновательность, некоторый пафос ученичества — уважения и противостояния учителям, политическая корректность так и прёт, взаимовыручка и взаимопомощь, благородство в поступках, высмеивается пустое аристократическое чванство и порицается бюрократия, прививаются кое-какие хорошие манеры и так далее.",positive
"Это увлекательнейшая игра, и очевидно, что без призов Фархади не уедет из Берлина и на этот раз.",positive
"Причём определены конкретные требования к таким письмам: они должны содержать «точное указание на адрес в сети Интернет информации, нарушающей (sic! — П.П.) права заявителя и обоснование соответствующего права, а также сведения, достаточные для однозначного установления заявителя и связи с ним».",neutral
"Не только интеллектуального, но и, странно сказать, телесного, сродни физической близости.",neutral
"Он был подготовлен опальным министром здравоохранения и социального развития Михаилом Зурабовым, но так и не был принят.",negative
"Любопытнейшие известия приходили непрерывно из рабочих предместий 21, 22, 23 июня.",neutral
"И в научном плане, и с точки зрения новых идей, проектов, мыслей, встреч.",neutral
Однако ценность поисковика Rambler этим не исчерпывается.,positive
"Из них 53 процента были приняты, 32 процента - отклонены, а ещё 15 процентов возвращены за дополнительной информацией.",neutral
"«Картинки с выставки» прозвучат не в хрестоматийной оркестровке Равеля, но в менее известной обработке советского дирижёра Сергея Горчакова, поставившего целью максимально приблизиться к духу музыки Мусоргского.",neutral
"Зачем вы выставляете определения, ехидничаете, хихикаете?",negative
Российский президент назвал встречу «хорошей» и «откровенной».,positive
"Во всём этом присутствует элемент компромисса между физиками и лириками, именуемый азартом.",neutral
"Люди всегда будут ассоциировать меня с ним,",neutral
Аборигены совершенно не понимали дисциплины и при каждом удобном случае норовили раствориться на фоне родной природы.,neutral
"То-то чудо Божие будет, если все останутся здоровы и со здоровыми головами, потому что так темно, что заняться совершенно нечем.",mixed
"Это уже не будет такое скетч-шоу, как знаменитое""Шоу Фрая и Лори"", поскольку, по мнению Лори,""скетчинг""- игра для молодых, а они с Фраем уже старше половины кабинета министров.",neutral
"1 февраля при возвращении из своего 28-о полёта шаттл «Колумбия» потерпел катастрофу, экипаж из семи астронавтов погиб.",negative
Откуда берутся ваши символы и идеи?,neutral
"Сейчас их насчитывается около семи миллионов, шесть из которых проживают на территории провинции.",neutral
"Другое дело, что стыдно им не бывает.",negative
"Там же жить можно, чем обитатели, собственно, и занимаются.",neutral
Видимость 30 апреля была от 300-400 до менее 100 метров.,neutral
В отделе природы Ивано-Франковского областного краеведческого музея открылась необычная выставка...птичьих гнезд и яиц,neutral
"Есть мнение, что с появлением денег всё и испортилось.",negative
"Ярмольник, как сообщает в своем блоге журналист радио""Свобода""Елена Рыковцева,""взрывался в ответ:",neutral
Да что я тут соловьем разливаюсь...,negative
"Маленькая тонкость: на «американских» билетах указывается зона и в самолёт сажают не всех сразу, а в соответствии с номером зоны, но я по молодости это игнорировал и пытался пролезть в первых рядах, потом понял, что к чему.",neutral
"О чём думали его родители, когда его не привили?",negative
"Стоишь в час ночи в безнадежной пробке и дивишься, ну что за город такой?..",negative
Будем как раньше многокилометровые хода гонять по тайге (кто знает тот поймет).,neutral
В 2014 году на возмещение пострадавшим вкладчикам 61 банка АСВ потратило примерно 190 млрд рублей.,neutral
"Де, президент Обама об этом ему сказал года и два месяца назад, когда назначал на пост.",neutral
А преодолевать стену стоило: внутри участников ждала специально созданная для паркура конструкция высотой около 10 метров.,neutral
"Вот почему сотрудник правопорядка РФ имеет право оскорблять и унижать гражданина страны, а гражданин абсолютно бесправен в этом случае?",negative
"Эти страны прекрасно понимают, что нужно строить антикитайский союз.",neutral
"Сара Пэйлин потерпела поражение в родном штате — Аляске, не сумев провести в сенат своего выдвиженца Джо Миллера.",negative
Сегодня ночью был сделан важный шаг к этому.,positive
За каждым успешным социальным предприятием стоит лидер,neutral
"Он не представляет, кто выступит в сборной нового образца.",neutral
ВВС Североатлантического альянса 7 июня нанесли по меньшей мере 60 ударов по столице Ливии.,negative
Так полагает лидер ЛДПР Владимир Жириновский.,neutral
"Жизнь, так поразительно похожая на нашу сегодняшнюю.",neutral
"Социологический опрос — дело дорогое, и позволить себе такие расходы могут только очень крупные издательства, которые стараются не делиться со всеми остальными ценными секретами.",neutral
Вся аудитория находилась далеко за пределами этого символического корабля.,neutral
"Когда шла подготовка к реализации проекта по поддержке местных инициатив и проводился мониторинг по выявлению основных проблем деревень Кировской области, наши коллеги из Ставропольского края (это второй регион в котором реализуется проект), были очень удивлены, что в северном регионе России есть проблемы с водоснабжением.",negative
"Им и в голову не придет всерьез возмущаться изменению дизайна или смене администрации ресурса, потому что они всегда помнят о возможности голосовать ногами, что для жителей форумов равнозначно переезду в другую страну.",neutral
Стихийные бедствия не оставляют планету ни на один день.,negative
В то же время цена членства ЕС для Хорватии может оказаться непомерно дорогой.,negative
"Дело не в том, чтобы демонстративно наказывать «негодяя», а в том, чтобы менять систему.",neutral
Однако его сестра в декабре 2012 года была приговорена к тюремному заключению за покупку и хранение запрещенных препаратов с намерением обеспечить ими спортсменов.,negative
"Поэтому оценка календарного года будет сильно зависеть от того, на какую из полос – черную или белую – пришелся вопрос.",neutral
"Также в музее — «Бриллиантовая сова», «Хрустальное гнездо», красные пиджаки как символ «бессмертного члена клуба» (правда, их через некоторое время отменили).",neutral
"В районе Краненбурга выродилось 14, пережило страшную ночь только 8.",negative
"Сегодня у нас просто прогулки по старому городу, который не очень-то стар, почти ровестник Питера.",neutral
Ожесточенные дебаты между республиканцами и демократами ожидаются также по поводу инициатив американского правительства по стимулированию экономики.,neutral
"Заявление прозвучало в ответ на слова столичного градоначальника о том, что из-за критики в СМИ в отставку он не уйдёт, сообщает РИА «Новости».",neutral
"Редкий сумчатый хищник — тасманийский дьявол, обитающий только на острове Тасмания, может полностью исчезнуть.",negative
По мере развития повествования жара из мелкой неприятности превращается в настоящий кошмар:,negative
"Если региону необходимо погасить большой объем долга, часть средств он может получить у Минфина: у министерства предусмотрена помощь регионам, выплачивающим долг в текущем году, — однако она покрывает только половину суммы задолженности.",neutral
"Но вслед за лирическим вступлением постепенно, одна за другой, начали открываться настоящие, большие темы: Москва и Дальний Восток, общество потребления и национальные интересы, единство России, мнимое и подлинное, и, наконец, новая историческая общность — «приморцы», «дальневосточники», «праворульцы».",neutral
Их сайты по-прежнему заблокированы интернет провайдерами по решению суда или Роскомнадзора.,negative
"Напомним также, что замруководителя администрации президента РФ Магомедсалам Магомедов в ходе рабочей поездки в Новосибирск заявил, что принятое Министерством культуры РФ решение заменить директора Новосибирского театра оперы и балеты было вынужденным и предложил ввести экспертную оценку постановок в российских гостеатрах.",neutral
"Впрочем, пытливое ухо может в этом услышать и столпов ска Madness и Bad Manners, а иная голова вдруг не к месту вспомнит Горана Бреговича.",neutral
"Фактически, она уже была партией или, вернее, протопартией, когда многопартийность была запрещена.",neutral
"И хотя Александр Черненко уверен в том, что выборы будут признаны состоявшимися, их результаты он называет «холодным душем» как для власти, так и оппозиции.",neutral
И обязательное включение ноутбука все три раза.,neutral
Своей целью оно ставило полное отделение Квебека от Канады и создание самостоятельного социалистического государства.,neutral
"Наши подневольные крестьяне тоже получили далеко не то, чего хотели.",negative
"Почему я вечно должна у него что-то просить, что-то доказывать, в чем-то оправдываться?",negative
И уже здесь начинаются первые оскорбления и унижения.,negative
"Для игры, ассоциирующейся с интеллектуальной элитой, руководители шахмат и ведущие игроки сделали очень мало в последние годы.",negative
Статья опубликована на Интернет странице немецкой газеты „Sueddeutsche Zeitung“.,neutral
"В ходе эксперимента исследователи продемонстрировали испытуемым серию из 440 различных картинок, представлявших собой произвольное сочетание темных и светлых пятен, на 100-пиксельном экране.",neutral
"Не стоит утверждать, что они носят массовый характер, — говорит профессор философии Висконсинского университета Абигейл Дилл.",neutral
Если позволить катарсису случиться — и это на чем основа динамическая медитация — вулкан исчезнет.,neutral
И два параллельных вторых (1945 г.р.).,neutral
"Он очень помог 16-летней девочке из Орши Яне, с которой никогда не был знаком.",positive
"Впрочем, пока никакого подтверждения (как и опровержения) анонимной информации установить не удалось.",neutral
"Восточнославянские государства сегодня представляют собой не что иное, как классические «развращённые» государства, где неспособность к свободной жизни происходит от гражданского неравенства.",negative
"Он высказал соображение о том, что сама скала над Рейном имеет больше мифическое значение, чем собственно её внешний вид.",neutral
Мир и дружба воцарились на границе России и Китая.,positive
"Не желаю осознавать себя единым целым с водителем, который, увидев прохожего на тротуаре рядом с лужей на его пути, прибавляет газ.",negative
"Ее мать Мадонна Луиза Чикконе (Madonna Louise Ciccone) была франко-канадского происхождения, а отец Сильвио Чикконе (Silvio Ciccone) - итальянского.",neutral
"Таким образом, Швеция стала вторым государством, которое в течение недели приняло этот спорный документ.",neutral
"В субботу, накануне открытия избирательных участков, произошла перестрелка между солдатами суданской армии и повстанцами.",negative
"От этого уже хотелось закрыть интернет и не открывать его, хотелось уйти очень далеко.",negative
"Но ПМЭФ — мероприятие в высокой степени политическое, чисто технократическим в обстоятельствах современной России оно быть не может, да и не было —- по крайней мере с 2005 года, когда в нем впервые поучаствовал Владимир Путин.",neutral
"И музыкальные фестивали организовывал, и спортивные марафоны проводил, и даже Африку на своем джипе проехал и был там гидом!",positive
"Автор поясняет, что матка испытывает удушья от избытка женской спермы (ещё одна идея Галена) и предлагает несколько возможных средств решения проблемы.",neutral
"Пхеньян пообещал ответить войной, если СБ ООН не прекратит обвинять КНДР в гибели южнокорейского корвета",negative
В связи с этим глава Минздрава предложила создать кабинеты кризисных состояний в лечебных учреждениях города.,neutral
Даже Тихонов и тот не мог.,negative
"Он фиксирует собственный потребительский опыт (напомним, что без этого невозможно получить рекомендации), а в итоге возникают детальные отчеты о его жизнеощущениях.",neutral
"К другим безусловным плюсам можно отнести и то, что вступление Хорватии в Евросоюз значительно поднимет статус страны, и что Загреб получит жизненно необходимые субсидии ЕС.",positive
И тут эксперты не могут ничем порадовать.,negative
"Не то, что год, лишние десять лет им не помогут.",negative
В России происходит то же самое.,neutral
"Школы, в которых занимаются медитацией, показали удивительные результаты уже через год.",positive
"Напомним, премия The Man Asian Literary Prize вручается только третий год.",neutral
"О том, что Фонд страхования вкладов может опустеть, предупреждал в сентябре прошлого года заместитель гендиректора АСВ Андрей Мельников:""К середине 2015 года фонд может достигнуть минимальных значений, близких к нулю"".",negative
"Такая ведь не каждого впустит, а этим двоим сделала исключение.",neutral
Накануне вечером лидеры Германии и Франции провели пятичасовые переговоры с президентом Украины Петром Порошенко.,neutral
"Младенца — няне, сад — садовнику: работу должны выполнять профессионалы",neutral
В первую очередь цензуре подвергнутся номера любительских танцевальных групп.,neutral
"Получение разрешения на временное проживание, разрешения на работу, патента, вида на жительство, гражданства РФ, выполнение работ, оказание услуг иностранными гражданами или лицами без гражданства – это отдельные большие темы, по которым нужно писать другие статьи.",neutral
В 16 часов 22 минуты Крамнику было засчитано поражение за просрочку времени.,negative
И с фиксированной стоимостью продажи экологического электричества.,neutral
Сделка между компаниями должна завершиться в течение 24 месяцев.,neutral
"Известный российский блоггер — общественный активист Алексей Навальный, массовые антикоррупционные акции которого нынче широко обсуждаются в Рунете и в мировой прессе, 18 июня опубликовал запись в ЖЖ, где рассказал об обстоятельствах этой ситуации.",neutral
"За последние десять лет, благодаря неустанной и героической работе наших военных и специалистов по противодействию терроризму, нам удалось достичь значительных успехов в этой работе.",positive
Дополнительное чтение - Python vs Ruby; небольшой пример программы; эмпирическое сравнение семи языков программирования.,neutral
Дело о прейскуранте в российских военкоматах,neutral
"И прекрасно, когда любвеобильная няня с пятью котами и детьми печёт печенье или обустраивает им бассейн в саду.",positive
"Предполагать, что США отключат GPS, пока нельзя.",neutral
"Этот пост вместо проработавшего на радиостанции 20 лет Юрия Федутинова заняла Екатерина Павлова, предложенная «Газпром-Медиа».",neutral
"В рассказах Лемберского всё существует будто бы одновременно — времена, бывшие и нынешние, разные поколения и территории: Одесса, из которой писатель происходит, и нынешняя Америка, смешивающая всё и всех в одной посуде — орла и трепетную лань, селёдку с картошкой, борщ, компот и селёдку под шубой.",neutral
"В перспективе нескольких лет уже не будет иметь значения, на какой платформе смотреть фильм или телепередачу.",neutral
"В настоящее время на границе между США и Мексикой, общая длина которой составляет 3200 км, существует уже забор длиной 112 км.",neutral
"Господи, если они осилили в свое время родительскую роль по отношению к собственным папе с мамой, неужели своих детей не смогут воспитать по высшему разряду?",negative
"Конечно, против Китая хорошо было бы дружить напрямую с США, у которых с военной мощью всё хорошо.",neutral
"К сожалению, приходится признать, что так же мало понимания и осознанности у многих даже из тех, кто считает себя верующими, в том, что же на самом деле празднуется в самые большие и светлые религиозные праздники, такие как Пасха и Рождество.",negative
На главной странице видеохостинга размещается большое рекламное видео.,neutral
У нас было пять параллельных первых классов по сорок человек в каждом.,neutral
"Сейчас я думаю, что хорошо бы создать сообщество предпринимателей-благотворителей.",neutral
"Причем даже достигнутое такой ценой сдерживание не сможет быть долгосрочным, так как наступает холодный сезон, вместе с которым важными факторами станут растущие цены на газ.",negative
"Поэтому вся переаттестация превратилась в фарс,",negative
